Ano,China,Estados Unidos,Japão,Korea,Alemanha,Brasil
2000,26445,280390,490776,85783,134691,3782
2001,31239,293805,508503,88405,138280,3951
2002,41418,291806,483806,94248,132836,4031
2003,58757,301737,484943,112754,134631,4451
2004,69017,330854,510023,136438,146046,4814
2005,97948,383242,530005,162694,153634,4920
2006,129290,404260,517486,173301,160589,4969
2007,161308,437353,508263,176336,163779,5393
2008,204268,428881,509990,173496,171835,5521
2009,241434,397919,463601,170233,162332,5420
2010,308326,433199,468417,178654,173619,5735
2011,436170,440632,475051,187747,175606,6359
2012,561408,473489,490271,203836,183048,6603
2013,734096,501162,473141,223527,184493,6848
2014,837817,509521,465971,230553,179506,6712
2015,1010615,530662,457952,238185,175423,6570